symbol,avg_sentiment,mention_count,bullish_ratio,total_score,timeframe_days
LUCK,0.6999271186440679,59,0.9491525423728814,2855,1
LUNR,0.13579999999999998,17,0.35294117647058826,150,1
M,0.2717,6,0.6666666666666666,20,1
MA,-0.10336666666666668,3,0.3333333333333333,2,1
MAG,0.3178666666666667,6,0.6666666666666666,6,1
MAIN,0.5229151515151516,33,0.8181818181818182,1087,1
MAMA,0.8442,1,1.0,12,1
MAN,0.14705211267605633,71,0.5211267605633803,1191,1
MASS,0.18352,5,0.6,17,1
MATH,0.4205238095238095,21,0.7142857142857143,455,1
MAX,0.4243730769230769,26,0.6923076923076923,2692,1
MBOT,0.43133333333333335,9,0.6666666666666666,27,1
MC,0.60175,6,0.8333333333333334,4,1
MCHP,-0.4526,1,0.0,5,1
MCVT,0.5511333333333334,12,0.75,25,1
ME,0.2867945187165775,748,0.6256684491978609,20262,1
MET,0.35914,5,0.8,9,1
META,0.5484506329113924,79,0.7974683544303798,2146,1
MGOL,0.34,1,1.0,1,1
MGRM,0.0,1,0.0,1,1
MIND,0.5139701754385965,57,0.8070175438596491,198,1
MIRA,0.9918,1,1.0,1,1
ML,0.011766666666666667,3,0.6666666666666666,24,1
MLGO,0.0,1,0.0,1,1
MMM,0.523,3,0.6666666666666666,-6,1
MMS,-0.27242500000000003,4,0.25,12,1
MNMD,0.9358,1,1.0,2,1
MO,0.0,1,0.0,1,1
MOVE,0.38045172413793105,145,0.6758620689655173,17428,1
MPWR,-0.4526,1,0.0,5,1
MRK,0.9181,2,1.0,0,1
MRNA,0.34,1,1.0,1,1
MRVL,-0.4526,1,0.0,5,1
MS,0.6243,3,0.6666666666666666,23,1
MSFT,0.37785,12,0.6666666666666666,102,1
MSTR,-0.0345,4,0.25,29,1
MU,0.041636363636363645,11,0.45454545454545453,97,1
MVIS,0.0,2,0.0,3,1
MVST,0.1765,8,0.375,37,1
MXCT,0.0,1,0.0,1,1
NARI,0.9959,5,1.0,25,1
NAT,0.20910000000000004,3,0.3333333333333333,34,1
NBIS,0.2126666666666667,3,0.3333333333333333,3,1
NCI,0.5199,2,1.0,2,1
NEGG,-0.24695,2,0.0,2,1
NEHC,0.0,1,0.0,4,1
NEO,-0.8647,1,0.0,9,1
NET,0.651309756097561,41,0.8780487804878049,296,1
NEXT,0.32026520467836256,342,0.6461988304093568,5692,1
NI,-0.4019,4,0.0,4,1
NICE,0.6208275862068966,87,0.9540229885057471,576,1
NINE,0.41891428571428574,21,0.6666666666666666,131,1
NIO,0.2388,2,1.0,31,1
NMRA,0.8205,1,1.0,3,1
NN,0.9686,3,1.0,48,1
NOTE,0.3516,13,0.6153846153846154,764,1
NOV,0.5224571428571428,7,0.8571428571428571,20,1
NOW,0.2568092975206612,484,0.5950413223140496,13199,1
NRDY,0.7845,2,1.0,2,1
NRXP,0.2423,2,1.0,3,1
NSPR,0.0,1,0.0,1,1
NUE,0.665,2,1.0,4,1
NURO,0.0,1,0.0,1,1
NUVB,0.4588,1,1.0,2,1
NVDA,0.09866754966887419,151,0.4503311258278146,2567,1
NVR,0.41835,2,0.5,3,1
NXL,0.0,1,0.0,1,1
NXPI,-0.4526,1,0.0,5,1
NXPL,0.04218571428571428,7,0.42857142857142855,19,1
NXU,-0.07416666666666667,3,0.0,3,1
NYC,0.7713,1,1.0,8,1
O,0.76345,2,1.0,12,1
OB,-0.2732,1,0.0,19,1
ODD,-0.64958,5,0.0,12,1
OGN,0.9181,2,1.0,0,1
OGS,0.2732,1,1.0,5,1
OI,0.3291,1,1.0,3,1
OKLO,0.24293333333333333,6,0.5,197,1
OLED,-0.4526,1,0.0,5,1
OMER,0.69,1,1.0,10,1
OMEX,0.5994,1,1.0,0,1
ON,0.33685145488029467,2715,0.6559852670349908,49303,1
ONDS,0.6031,3,0.6666666666666666,10,1
ONTO,0.4740958333333333,24,0.75,1983,1
OP,0.2247242857142857,70,0.6,693,1
OPEN,0.2862162393162393,117,0.6068376068376068,1207,1
OPT,0.6726727272727273,11,0.8181818181818182,97,1
OPTT,0.3440678571428571,28,0.6071428571428571,268,1
OR,0.3716306382978723,1410,0.6914893617021277,28793,1
OS,0.48552,5,0.6,46,1
OSTX,0.9909,1,1.0,1,1
OTLY,0.34744166666666665,12,0.5833333333333334,45,1
OUT,0.32381391184573,726,0.6707988980716253,21054,1
OXY,0.4977,2,0.5,16,1
PAA,0.584775,4,1.0,44,1
PACB,0.2294,2,0.5,3,1
PACK,-0.1901,2,0.0,54,1
PALI,0.8660333333333333,3,1.0,4,1
PANW,0.1366,2,0.5,6,1
PAR,0.4417,1,1.0,23,1
PATH,0.5294235294117646,17,0.7647058823529411,786,1
PAY,0.3126455782312925,147,0.673469387755102,3707,1
PAYS,0.5674545454545454,11,0.6363636363636364,61,1
PC,0.41806923076923075,13,0.8461538461538461,72,1
PCB,0.0258,1,1.0,0,1
PDD,0.9997,5,1.0,0,1
PDS,0.1531,1,1.0,1,1
PEG,0.8564,2,1.0,9,1
PET,0.96098,15,1.0,98,1
PETS,0.9975,1,1.0,7,1
PEV,0.30945,4,0.5,12,1
PFE,0.5389846153846154,13,0.9230769230769231,38,1
PH,0.9686,1,1.0,19,1
PITA,0.1177,1,1.0,1,1
PL,0.8205,1,1.0,3,1
PLAY,0.3466359375,128,0.7109375,9301,1
PLTR,0.3539878048780488,41,0.7317073170731707,250,1
PLUG,0.15127500000000002,4,0.5,21,1
PLUS,0.543496,50,0.78,939,1
PLX,0.7713,1,1.0,8,1
PM,0.16630408163265306,49,0.6326530612244898,213,1
POAI,0.6476,1,1.0,2,1
POET,0.4021,2,1.0,3,1
PONY,0.7308,1,1.0,1,1
POOL,0.4162,1,1.0,1,1
POST,0.2067455958549223,193,0.5595854922279793,7635,1
PPG,0.6124,1,1.0,2,1
PPL,-0.1677923076923077,13,0.38461538461538464,82,1
PPTA,0.817225,8,0.875,9,1
PR,0.3960571428571429,7,0.5714285714285714,11,1
PRE,0.08491562500000001,32,0.53125,271,1
PRO,0.1706333333333333,9,0.5555555555555556,43,1
PROF,0.0,1,0.0,2,1
PRPH,0.8986,1,1.0,1,1
PRZO,0.0,1,0.0,1,1
PSHG,0.011224999999999985,4,0.25,30,1
PT,0.2863285714285714,7,0.5714285714285714,17,1
PTON,0.2388,2,1.0,31,1
PTPI,0.8834,1,1.0,2,1
PUMP,-0.06629561403508771,114,0.3508771929824561,687,1
PXLW,0.9367,1,1.0,1,1
QBTS,0.23755555555555555,18,0.5555555555555556,56,1
QCOM,-0.4526,1,0.0,5,1
QMCO,0.4019,1,1.0,2,1
QRVO,-0.4526,1,0.0,5,1
QS,0.7896,1,1.0,1,1
QSI,0.997,1,1.0,3,1
QUBT,0.036546153846153846,26,0.5384615384615384,648,1
R,-0.16903333333333334,6,0.0,42,1
RACE,0.15632857142857143,7,0.42857142857142855,19,1
RAIL,0.6138307692307692,13,0.8461538461538461,45,1
RAMP,0.24253333333333335,3,0.6666666666666666,63,1
RARE,0.6109333333333333,9,0.7777777777777778,23,1
RAY,-0.118775,4,0.5,11,1
RBC,0.9583,2,1.0,2,1
RBLX,0.26335,2,0.5,17,1
RC,-0.4926,1,0.0,1,1
RCAT,0.25914000000000004,5,0.6,32,1
RDDT,-0.005599999999999994,10,0.2,112,1
REAL,0.2571070351758794,199,0.6331658291457286,1950,1
REKR,0.6414333333333334,6,0.8333333333333334,13,1
RELY,0.38961428571428575,7,0.5714285714285714,32,1
RENT,-0.501275,4,0.0,38,1
RGTI,0.2097657894736842,114,0.5526315789473685,2104,1
RGTIW,-0.4019,1,0.0,5,1
RH,0.5687666666666666,15,0.8666666666666667,67,1
RICK,-0.5781,1,0.0,-2,1
RIG,0.4113,1,1.0,-2,1
RIME,0.26537,50,0.56,820,1
RIOT,0.2388,2,1.0,31,1
RKLB,-0.17002,5,0.2,23,1
RMD,0.9181,2,1.0,0,1
ROAD,0.13544,5,0.6,9,1
ROCK,0.408125,12,0.8333333333333334,67,1
ROIC,0.0,2,0.0,0,1
ROK,-0.2732,1,0.0,-1,1
ROKU,7.777777777778e-05,9,0.5555555555555556,37,1
RPID,0.0,1,0.0,1,1
RR,0.32743636363636364,11,0.5454545454545454,51,1
RS,0.0691,4,0.5,4,1
RSI,0.8697181034482758,116,0.9482758620689655,306,1
RTX,0.4468,2,0.5,66,1
RUN,0.3335,125,0.648,1780,1
RVPH,0.48888888888888893,9,0.6666666666666666,23,1
RVSN,0.11026969696969698,99,0.37373737373737376,1159,1
RYAN,0.7504,1,1.0,6,1
RZLV,0.9102,4,1.0,62,1
S,0.02420000000000001,3,0.6666666666666666,7,1
SAFE,0.6485263157894736,38,0.8947368421052632,108,1
SAM,-0.030433333333333323,6,0.3333333333333333,59,1
SAN,0.5024,4,0.75,43,1
SANA,-0.11333333333333334,3,0.0,10,1
SAND,0.7928,1,1.0,1,1
SAT,0.33175,6,0.8333333333333334,50,1
SATS,0.9197,2,1.0,2,1
SAVA,0.0,1,0.0,3,1
SAY,0.2650418032786885,244,0.610655737704918,6759,1
SBC,0.7083,1,1.0,-14,1
SCI,0.5695666666666667,3,1.0,56,1
SCPH,0.8205,1,1.0,3,1
SE,0.822875,4,1.0,1,1
SEE,0.3581836909871245,466,0.6652360515021459,5758,1
SEED,0.18023333333333333,3,0.3333333333333333,50,1
SELF,0.1288047619047619,21,0.5238095238095238,103,1
SEM,0.4404,1,1.0,395,1
SENS,-0.20095,2,0.0,3,1
SERV,0.9442,1,1.0,2,1
SES,0.49435,2,0.5,3,1
SF,0.6597,1,1.0,29,1
SGA,-0.5499,1,0.0,1,1
SGBX,0.3612,1,1.0,1,1
SHIP,0.277125,12,0.5,20,1
SHOP,0.36728,5,0.4,20,1
SHOT,0.37200909090909096,22,0.7272727272727273,293,1
SIDU,-0.1027,1,0.0,1,1
SIM,-0.5574,1,0.0,4,1
SITE,0.5130111111111111,9,0.6666666666666666,54,1
SIX,0.7717571428571429,7,1.0,65,1
SKIN,0.37955714285714287,7,0.7142857142857143,25,1
SKY,0.014350000000000002,10,0.4,39,1
SKYX,0.31193333333333334,3,0.3333333333333333,6,1
SMCI,0.3647666666666667,3,0.6666666666666666,-28,1
SMR,0.9896,1,1.0,186,1
SMX,0.9479,1,1.0,1,1
SNAP,0.28595,2,0.5,14,1
SNOW,-0.3182,1,0.0,35,1
